Department,I am satisfied with my role,Coffee preference,Age
Engineering,Agree,Coffee,50
Sales,Agree,Tea,33
Sales,Agree,Neither,61
Support,Disagree,Coffee,41
Support,Disagree,Neither,24
Sales,Neutral,Coffee,61
Sales,Disagree,Neither,22
Sales,Disagree,Tea,24
Support,Disagree,Neither,23
Engineering,Agree,Coffee,59
Support,Neutral,Tea,40
Engineering,Disagree,Neither,27
Engineering,Agree,Coffee,57
Support,Disagree,Coffee,36
Sales,Neutral,Tea,26
Sales,Disagree,Coffee,28
Engineering,Agree,Tea,23
Sales,Disagree,Tea,35
Support,Neutral,Coffee,47
Engineering,Neutral,Neither,34
Sales,Neutral,Coffee,27
Engineering,Agree,Tea,48
Support,Disagree,Tea,28
Support,Disagree,Coffee,53
Support,Neutral,Tea,50
Sales,Neutral,Neither,30
Engineering,Agree,Tea,47
Engineering,Neutral,Tea,39
Sales,Neutral,Tea,35
Support,Neutral,Neither,58
Support,Disagree,Tea,35
Engineering,Agree,Tea,61
Engineering,Agree,Coffee,26
Support,Disagree,Tea,59
Sales,Neutral,Tea,60
Engineering,Agree,Neither,51
Support,Agree,Coffee,58
Support,Neutral,Tea,31
Engineering,Neutral,Neither,37
Sales,Neutral,Tea,57
Support,Neutral,Coffee,60
Support,Neutral,Tea,28
Support,Disagree,Neither,38
Support,Neutral,Coffee,48
Sales,Agree,Coffee,55
Support,Disagree,Tea,36
Engineering,Agree,Neither,61
Sales,Disagree,Coffee,35
Support,Disagree,Tea,39
Engineering,Agree,Tea,25
Support,Disagree,Coffee,45
Sales,Agree,Tea,27
Engineering,Neutral,Coffee,43
Sales,Agree,Neither,30
Sales,Disagree,Tea,52
Engineering,Agree,Tea,23
Sales,Disagree,Coffee,26
Sales,Neutral,Coffee,30
Support,Disagree,Coffee,56
Engineering,Disagree,Neither,30
Engineering,Agree,Tea,52
Support,Neutral,Tea,53
Sales,Disagree,Neither,46
Engineering,Agree,Tea,60
Support,Disagree,Tea,29
Engineering,Agree,Neither,43
Engineering,Agree,Coffee,50
Engineering,Agree,Tea,55
Sales,Disagree,Coffee,60
Support,Neutral,Tea,36
Sales,Disagree,Coffee,61
Sales,Agree,Coffee,22
Engineering,Agree,Tea,61
Support,Neutral,Tea,43
Sales,Agree,Coffee,37
Engineering,Agree,Neither,38
Support,Neutral,Tea,35
Engineering,Neutral,Neither,42
Support,Disagree,Tea,53
Engineering,Disagree,Neither,26
Engineering,Neutral,Tea,50
Engineering,Agree,Tea,48
Engineering,Agree,Coffee,42
Sales,Agree,Coffee,42
Support,Disagree,Coffee,60
Support,Disagree,Neither,44
Engineering,Agree,Tea,30
Engineering,Agree,Tea,23
Engineering,Neutral,Tea,25
Sales,Disagree,Coffee,28
Sales,Agree,Neither,45
Support,Disagree,Tea,52
Engineering,Neutral,Neither,22
Engineering,Agree,Neither,24
Support,Disagree,Coffee,44
Sales,Agree,Neither,61
Support,Neutral,Neither,36
Support,Neutral,Neither,46
Support,Neutral,Coffee,34
Sales,Disagree,Coffee,57
Sales,Agree,Coffee,51
Engineering,Neutral,Tea,29
Support,Disagree,Coffee,27
Engineering,Agree,Coffee,38
Sales,Disagree,Coffee,54
Support,Disagree,Coffee,43
Sales,Neutral,Coffee,53
Support,Disagree,Tea,49
Support,Disagree,Neither,43
Sales,Disagree,Coffee,31
Sales,Agree,Neither,50
Engineering,Agree,Neither,27
Support,Neutral,Neither,57
Engineering,Agree,Neither,32
Sales,Agree,Neither,38
Engineering,Agree,Neither,35
Engineering,Neutral,Neither,55
Engineering,Agree,Coffee,34
Engineering,Agree,Tea,54
Support,Agree,Coffee,23
Sales,Disagree,Neither,47
Sales,Agree,Tea,53
Support,Disagree,Tea,56
Engineering,Agree,Coffee,39
Support,Neutral,Coffee,30
Engineering,Agree,Coffee,55
Engineering,Neutral,Tea,48
Sales,Disagree,Coffee,30
Sales,Disagree,Tea,34
Support,Disagree,Tea,40
Engineering,Agree,Tea,61
Engineering,Neutral,Coffee,59
Support,Neutral,Neither,38
Sales,Neutral,Neither,55
Engineering,Disagree,Coffee,48
Sales,Agree,Tea,56
Support,Neutral,Neither,35
Sales,Neutral,Neither,61
Sales,Disagree,Tea,44
Support,Disagree,Neither,42
Support,Disagree,Tea,28
Support,Disagree,Tea,27
Engineering,Agree,Tea,49
Engineering,Agree,Neither,30
Support,Neutral,Neither,23
Support,Disagree,Neither,44
Engineering,Neutral,Neither,54
Sales,Neutral,Neither,34
Support,Neutral,Tea,23
Support,Neutral,Neither,54
Sales,Agree,Tea,34
Support,Disagree,Tea,33
Support,Disagree,Neither,28
Sales,Disagree,Tea,51
Support,Disagree,Coffee,47
Engineering,Agree,Neither,44
Engineering,Neutral,Neither,45
Support,Disagree,Tea,33
Engineering,Agree,Coffee,45
Engineering,Neutral,Neither,32
Support,Neutral,Tea,42
Support,Neutral,Neither,60
Support,Neutral,Neither,43
Engineering,Agree,Tea,32
Engineering,Neutral,Coffee,56
Sales,Neutral,Coffee,33
Engineering,Neutral,Neither,33
Support,Disagree,Coffee,52
Support,Disagree,Coffee,61
Support,Disagree,Coffee,41
Engineering,Neutral,Neither,47
Sales,Disagree,Neither,26
Engineering,Agree,Coffee,35
Sales,Disagree,Coffee,58
Support,Disagree,Neither,28
Sales,Neutral,Coffee,50
Engineering,Agree,Tea,34
Sales,Neutral,Tea,28
Engineering,Agree,Coffee,43
Sales,Agree,Neither,48
Sales,Agree,Tea,50
Sales,Disagree,Neither,60
Sales,Disagree,Coffee,32
Engineering,Agree,Tea,53
Sales,Agree,Neither,25
Engineering,Agree,Coffee,40
Sales,Neutral,Neither,41
Engineering,Agree,Coffee,52
Sales,Neutral,Neither,40
Sales,Neutral,Tea,22
Support,Agree,Tea,32
Engineering,Agree,Tea,42
Sales,Neutral,Tea,59
Sales,Neutral,Tea,36
Engineering,Agree,Coffee,37
Support,Neutral,Tea,51
Support,Disagree,Neither,29
Support,Agree,Coffee,51
Support,Disagree,Tea,44
Sales,Disagree,Tea,45
