Departamento,Estoy satisfecho con mi puesto,Calidad de las herramientas,Recomendaría trabajar aquí (0-10),¿Qué cambiarías?
Soporte,En desacuerdo,Regular,10,Contento con las herramientas
Ingeniería,Muy de acuerdo,Regular,8,Más capacitación por favor
Ventas,En desacuerdo,Regular,0,La incorporación fue lenta
Ingeniería,Neutral,Regular,1,Más capacitación por favor
Soporte,Muy en desacuerdo,Malo,6,
Ingeniería,Neutral,Regular,0,Contento con las herramientas
Ventas,En desacuerdo,Regular,10,Contento con las herramientas
Soporte,Muy en desacuerdo,Malo,1,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Regular,5,Reuniones más cortas
Ingeniería,Muy de acuerdo,Bueno,10,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Bueno,3,Más capacitación por favor
Ventas,En desacuerdo,Regular,1,Más días remotos
Ingeniería,Neutral,Regular,3,Contento con las herramientas
Soporte,Neutral,Regular,4,Contento con las herramientas
Ingeniería,Neutral,Regular,5,Reuniones más cortas
Ingeniería,Muy de acuerdo,Bueno,1,Más capacitación por favor
Ventas,En desacuerdo,Regular,7,La incorporación fue lenta
Ventas,En desacuerdo,Malo,3,Más días remotos
Ventas,De acuerdo,Malo,9,La incorporación fue lenta
Soporte,Muy en desacuerdo,Malo,5,Contento con las herramientas
Ventas,De acuerdo,Regular,1,Más capacitación por favor
Soporte,Muy en desacuerdo,Regular,5,Más capacitación por favor
Ventas,Neutral,Malo,10,Más capacitación por favor
Ingeniería,Muy de acuerdo,Malo,0,Contento con las herramientas
Ingeniería,Neutral,Regular,10,Más capacitación por favor
Soporte,Muy en desacuerdo,Regular,1,Reuniones más cortas
Ingeniería,De acuerdo,Bueno,4,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Bueno,6,Más capacitación por favor
Soporte,En desacuerdo,Malo,5,
Soporte,Muy en desacuerdo,Regular,0,Contento con las herramientas
Soporte,Neutral,Regular,0,Más capacitación por favor
Ingeniería,Muy de acuerdo,Bueno,9,Reuniones más cortas
Ingeniería,Neutral,Regular,4,Más capacitación por favor
Ventas,En desacuerdo,Regular,2,
Soporte,En desacuerdo,Malo,0,Contento con las herramientas
Ventas,De acuerdo,Regular,9,Reuniones más cortas
Ingeniería,De acuerdo,Bueno,2,Más capacitación por favor
Soporte,En desacuerdo,Malo,2,La incorporación fue lenta
Ventas,En desacuerdo,Regular,1,La incorporación fue lenta
Ventas,De acuerdo,Regular,4,Más días remotos
Ingeniería,De acuerdo,Regular,3,Más días remotos
Soporte,Muy en desacuerdo,Malo,6,Más capacitación por favor
Ventas,En desacuerdo,Regular,9,
Ventas,Neutral,Regular,6,Reuniones más cortas
Soporte,En desacuerdo,Bueno,2,
Soporte,Muy en desacuerdo,Bueno,5,
Soporte,Muy en desacuerdo,Regular,2,Contento con las herramientas
Ventas,De acuerdo,Malo,8,Reuniones más cortas
Ventas,Neutral,Malo,9,La incorporación fue lenta
Ventas,En desacuerdo,Regular,8,Contento con las herramientas
Ingeniería,Neutral,Regular,8,Más capacitación por favor
Soporte,Neutral,Malo,3,Contento con las herramientas
Soporte,En desacuerdo,Regular,1,La incorporación fue lenta
Ventas,Neutral,Bueno,8,Más días remotos
Soporte,En desacuerdo,Regular,8,Más días remotos
Ingeniería,De acuerdo,Bueno,3,La incorporación fue lenta
Soporte,En desacuerdo,Malo,3,Contento con las herramientas
Ventas,En desacuerdo,Bueno,6,Reuniones más cortas
Soporte,En desacuerdo,Regular,5,Reuniones más cortas
Soporte,Muy en desacuerdo,Malo,7,Más capacitación por favor
Ingeniería,De acuerdo,Malo,3,Reuniones más cortas
Ventas,En desacuerdo,Malo,10,Contento con las herramientas
Soporte,En desacuerdo,Regular,6,Contento con las herramientas
Ventas,De acuerdo,Malo,0,Más capacitación por favor
Ingeniería,Muy de acuerdo,Bueno,6,
Soporte,Muy en desacuerdo,Regular,2,La incorporación fue lenta
Ventas,De acuerdo,Malo,6,
Ventas,En desacuerdo,Regular,2,
Ingeniería,Muy de acuerdo,Bueno,5,
Ventas,Neutral,Regular,1,La incorporación fue lenta
Ingeniería,Neutral,Bueno,2,
Ventas,Neutral,Regular,9,
Ingeniería,De acuerdo,Bueno,6,Reuniones más cortas
Ingeniería,De acuerdo,Regular,9,
Ingeniería,Muy de acuerdo,Regular,9,Contento con las herramientas
Soporte,Muy en desacuerdo,Malo,0,Contento con las herramientas
Ventas,De acuerdo,Regular,1,Más días remotos
Ventas,Neutral,Bueno,9,Reuniones más cortas
Ventas,En desacuerdo,Regular,0,Más días remotos
Soporte,Muy en desacuerdo,Malo,3,Reuniones más cortas
Ingeniería,Muy de acuerdo,Bueno,2,Más capacitación por favor
Ventas,De acuerdo,Malo,0,Contento con las herramientas
Soporte,En desacuerdo,Regular,8,Más capacitación por favor
Soporte,Neutral,Bueno,7,La incorporación fue lenta
Ventas,En desacuerdo,Regular,1,Reuniones más cortas
Ventas,Neutral,Regular,0,Reuniones más cortas
Ventas,En desacuerdo,Malo,9,Reuniones más cortas
Ingeniería,De acuerdo,Bueno,4,Más capacitación por favor
Ingeniería,Muy de acuerdo,Bueno,10,
Soporte,Muy en desacuerdo,Malo,2,Más días remotos
Soporte,Muy en desacuerdo,Malo,4,Contento con las herramientas
Soporte,Muy en desacuerdo,Malo,9,Reuniones más cortas
Ingeniería,De acuerdo,Bueno,0,La incorporación fue lenta
Soporte,En desacuerdo,Regular,4,Reuniones más cortas
Soporte,Muy en desacuerdo,Regular,6,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Bueno,8,La incorporación fue lenta
Ventas,De acuerdo,Malo,8,
Ventas,Neutral,Regular,5,Reuniones más cortas
Ingeniería,Muy de acuerdo,Regular,0,Contento con las herramientas
Ventas,Neutral,Regular,10,
Ventas,En desacuerdo,Malo,1,Contento con las herramientas
Ingeniería,Muy de acuerdo,Regular,5,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Malo,4,Más días remotos
Soporte,En desacuerdo,Malo,2,Más días remotos
Ventas,De acuerdo,Regular,3,Más días remotos
Ventas,De acuerdo,Bueno,5,La incorporación fue lenta
Soporte,En desacuerdo,Bueno,2,Contento con las herramientas
Ventas,De acuerdo,Malo,2,La incorporación fue lenta
Ingeniería,Neutral,Bueno,10,
Soporte,Muy en desacuerdo,Malo,8,Más días remotos
Ingeniería,Neutral,Bueno,1,Más capacitación por favor
Soporte,En desacuerdo,Bueno,10,Reuniones más cortas
Ingeniería,Muy de acuerdo,Bueno,4,Más capacitación por favor
Ingeniería,De acuerdo,Bueno,7,Reuniones más cortas
Ingeniería,Muy de acuerdo,Regular,7,Más capacitación por favor
Soporte,En desacuerdo,Bueno,7,Contento con las herramientas
Ventas,Neutral,Regular,2,Reuniones más cortas
Soporte,En desacuerdo,Malo,0,
Ventas,De acuerdo,Malo,7,Más capacitación por favor
Ingeniería,Muy de acuerdo,Regular,7,
Soporte,Muy en desacuerdo,Malo,2,Reuniones más cortas
Ingeniería,De acuerdo,Bueno,6,Más días remotos
Ventas,En desacuerdo,Malo,1,Contento con las herramientas
Soporte,En desacuerdo,Malo,7,La incorporación fue lenta
Soporte,Neutral,Malo,1,
Ingeniería,Muy de acuerdo,Bueno,2,Contento con las herramientas
Soporte,Neutral,Malo,10,Más capacitación por favor
Ventas,Neutral,Regular,7,
Ingeniería,Muy de acuerdo,Bueno,10,Contento con las herramientas
Ventas,En desacuerdo,Regular,0,Más capacitación por favor
Soporte,Muy en desacuerdo,Malo,4,
Ingeniería,Muy de acuerdo,Bueno,9,
Ventas,Neutral,Regular,9,
Ingeniería,De acuerdo,Regular,8,Más días remotos
Ingeniería,De acuerdo,Bueno,10,Contento con las herramientas
Soporte,En desacuerdo,Regular,7,
Ventas,En desacuerdo,Malo,9,Más capacitación por favor
Ingeniería,Muy de acuerdo,Bueno,10,Reuniones más cortas
Soporte,Neutral,Bueno,1,Contento con las herramientas
Ingeniería,Muy de acuerdo,Bueno,0,Contento con las herramientas
Ingeniería,De acuerdo,Bueno,3,La incorporación fue lenta
Ingeniería,Muy de acuerdo,Bueno,2,La incorporación fue lenta
Ventas,Neutral,Regular,3,Más días remotos
Soporte,Muy en desacuerdo,Regular,10,La incorporación fue lenta
Ventas,De acuerdo,Regular,1,Más capacitación por favor
Ventas,Neutral,Malo,0,La incorporación fue lenta
Soporte,Muy en desacuerdo,Bueno,9,La incorporación fue lenta
Soporte,Muy en desacuerdo,Regular,9,Más días remotos
Ventas,Neutral,Bueno,4,Contento con las herramientas
Ventas,De acuerdo,Bueno,0,Más días remotos
Ingeniería,Muy de acuerdo,Regular,9,Reuniones más cortas
Soporte,Muy en desacuerdo,Malo,4,Reuniones más cortas
Ventas,De acuerdo,Malo,2,Contento con las herramientas
Ingeniería,De acuerdo,Regular,10,Contento con las herramientas
Ingeniería,Muy de acuerdo,Bueno,1,Contento con las herramientas
Ventas,Neutral,Bueno,5,Más capacitación por favor
Ventas,Neutral,Regular,4,Reuniones más cortas
Soporte,Muy en desacuerdo,Regular,3,La incorporación fue lenta
Ingeniería,De acuerdo,Regular,1,
Ingeniería,Muy de acuerdo,Regular,5,
Soporte,Muy en desacuerdo,Regular,10,Contento con las herramientas
Ventas,De acuerdo,Bueno,2,La incorporación fue lenta
Ingeniería,Neutral,Bueno,2,La incorporación fue lenta
Soporte,Muy en desacuerdo,Malo,5,La incorporación fue lenta
Ventas,Neutral,Bueno,3,
Ingeniería,Neutral,Regular,3,Contento con las herramientas
Ventas,En desacuerdo,Regular,5,Reuniones más cortas
Soporte,En desacuerdo,Malo,10,Más capacitación por favor
Ingeniería,Muy de acuerdo,Bueno,3,
Ingeniería,De acuerdo,Regular,6,Más capacitación por favor
Ventas,De acuerdo,Regular,10,Más días remotos
Ingeniería,Muy de acuerdo,Bueno,9,
Soporte,Muy en desacuerdo,Malo,3,Reuniones más cortas
Soporte,En desacuerdo,Regular,3,Más capacitación por favor
Ventas,De acuerdo,Bueno,10,Contento con las herramientas
Soporte,Neutral,Regular,0,Más capacitación por favor
Ventas,Neutral,Regular,2,Reuniones más cortas
Soporte,En desacuerdo,Malo,1,
Ingeniería,Muy de acuerdo,Bueno,8,Más días remotos
Ingeniería,De acuerdo,Bueno,6,Reuniones más cortas
Ventas,En desacuerdo,Regular,4,Contento con las herramientas
Soporte,En desacuerdo,Malo,7,
Ingeniería,Muy de acuerdo,Bueno,2,Más días remotos
Ingeniería,De acuerdo,Bueno,10,Más capacitación por favor
Soporte,Muy en desacuerdo,Malo,0,Contento con las herramientas
Soporte,Muy en desacuerdo,Malo,3,Más días remotos
Soporte,Muy en desacuerdo,Malo,2,Contento con las herramientas
Ventas,En desacuerdo,Regular,2,Contento con las herramientas
Ventas,Neutral,Malo,3,La incorporación fue lenta
Soporte,Muy en desacuerdo,Regular,4,Contento con las herramientas
Soporte,En desacuerdo,Regular,4,
Ventas,Neutral,Regular,4,Contento con las herramientas
Soporte,Muy en desacuerdo,Regular,3,La incorporación fue lenta
Ventas,En desacuerdo,Bueno,2,Más capacitación por favor
