Team,Preferred format,Would attend again,Rating (1-5)
Beta,In person,No,1
Alpha,Hybrid,Yes,3
Gamma,In person,Yes,1
Alpha,Online,No,1
Alpha,In person,No,1
Gamma,In person,Yes,5
Alpha,Hybrid,No,1
Alpha,In person,Yes,3
Beta,In person,Yes,5
Beta,Hybrid,Yes,1
Gamma,Hybrid,Yes,3
Alpha,Hybrid,Yes,5
Alpha,Hybrid,Yes,4
Gamma,Hybrid,No,3
Beta,Hybrid,No,3
Beta,In person,Yes,2
Alpha,Hybrid,No,5
Beta,Online,No,3
Gamma,In person,Yes,5
Beta,In person,No,2
Beta,Online,Yes,1
Gamma,Hybrid,No,3
Gamma,Online,No,5
Beta,In person,Yes,3
Beta,Hybrid,Yes,1
Gamma,Hybrid,No,5
Gamma,Online,No,4
Gamma,Online,Yes,4
Beta,In person,Yes,4
Alpha,In person,No,2
Gamma,In person,No,4
Beta,In person,Yes,4
Beta,Hybrid,No,2
Beta,Hybrid,No,4
Beta,Hybrid,No,2
Alpha,In person,Yes,2
Alpha,Hybrid,Yes,1
Beta,Hybrid,Yes,3
Beta,In person,Yes,4
Gamma,Online,No,2
Gamma,Hybrid,Yes,4
Gamma,Hybrid,No,4
Beta,Online,Yes,4
Gamma,Online,Yes,2
Alpha,In person,No,2
Alpha,Online,Yes,1
Alpha,Hybrid,Yes,5
Alpha,Online,Yes,1
Alpha,Hybrid,No,2
Gamma,Online,No,5
Beta,Online,Yes,1
Beta,Online,No,4
Beta,In person,Yes,1
Gamma,Online,No,4
Gamma,In person,Yes,2
Gamma,Online,Yes,5
Alpha,Hybrid,No,1
Gamma,Online,No,2
Beta,In person,No,2
Gamma,In person,Yes,4
